"Title","Access Date","Authors","DOI","Issue","Place Published","Publisher","Secondary Authors","Subsidiary Authors","Tertiary Authors","Type of Publication","Type of Work","Volume","Year of Publication","Pagination","Secondary Title","Nid"
"Long-term trends in selected shore angling species","","P. P.","","","Cape town","Oceanographic Research Institute","P. P.","P. P.","P. P.","Report","","","2007","37","Unpublished Report produced for the Department of Environmental Affairs and Tourism","1327"
"Long-term trends in the shore fishery of the Transkei coast, South Africa","","P. Pradervand","","","","","P. Pradervand","P. Pradervand","P. Pradervand","Journal Article","","39","2004","247–261","African Zoology","1326"
"Genetic heterogeneity among blacktip shark, Carcharhinus limbatus, continental nurseries along the US Atlantic and Gulf of Mexico","","D.B. Keeney; M. Heupel; R.E. Hueter; E.J. Heist","","","","","D.B. Keeney; M. Heupel; R.E. Hueter; E.J. Heist","D.B. Keeney; M. Heupel; R.E. Hueter; E.J. Heist","D.B. Keeney; M. Heupel; R.E. Hueter; E.J. Heist","Journal Article","","143","2003","1039–1046","Marine Biology","1325"
"Influence of the annual sardine run on catches of large sharks in the protective gillnets off KwaZulu-Natal, South Africa, and the occurrence of sardine in shark diet","","F.J. Dudley; G. Cliff","","","","","F.J. Dudley; G. Cliff","F.J. Dudley; G. Cliff","F.J. Dudley; G. Cliff","Journal Article","","32","2010","383–397","African Journal of Marine Science","1324"
"Some effects of shark nets in the Natal nearshore environment","","S.F.J. Dudley; G. Cliff","","","","","S.F.J. Dudley; G. Cliff","S.F.J. Dudley; G. Cliff","S.F.J. Dudley; G. Cliff","Journal Article","","36","1993","243–255","Environmental Biology of Fishes","1323"
"FAO species catalogue. v. 4:(2) Sharks of the world. An annotated and illustrated catalogue of shark species known to date, pt. 2: Carcharhiniformes","","L.J.V. Compagno;  ","","","","","L.J.V. Compagno;  ","L.J.V. Compagno;  ","L.J.V. Compagno;  ","Journal Article","","","1984","","","1322"
"The shark nursery of Bulls Bay, South Carolina, with a review of the shark nurseries of the southeastern coast of the United States","","J.I. Castro","","","","Springer","J.I. Castro","J.I. Castro","J.I. Castro","Book Chapter","","","1993","37–48","The reproduction and development of sharks, skates, rays and ratfishes","1321"
"Carcharhinus limbatus","","H.G. Burgess; S. Branstetter","http://dx.doi.org/10.2305/IUCN.UK.2009- 2.RLTS.T3851A10124862.en","","","","H.G. Burgess; S. Branstetter","H.G. Burgess; S. Branstetter","H.G. Burgess; S. Branstetter","Report","","","2009","","The IUCN Red List of Threatened Species 2009","1320"
"Age and growth of four carcharhinid sharks common to the Gulf of Mexico: a summary paper","","S. Branstetter; J.D. McEachran","","","","Sea Grant College Program, Texas A & M University","S. Branstetter; J.D. McEachran","S. Branstetter; J.D. McEachran","S. Branstetter; J.D. McEachran","Book","","","1987","","","1319"
"Biological notes on the sharks of the north central Gulf of Mexico","","S. Branstetter","","","","","S. Branstetter","S. Branstetter","S. Branstetter","Journal Article","","","1981","","Contributions in Marine Science (USA)","1318"
"Sharks of the east coast of southern Africa. III. The families Carcharhinidae (excluding Mustelus and Carcharhinus) and Sphyrnidae","","A.J. Bass; J.D. D’aubrey; N. Kistnasamy","","","","","A.J. Bass; J.D. D’aubrey; N. Kistnasamy","A.J. Bass; J.D. D’aubrey; N. Kistnasamy","A.J. Bass; J.D. D’aubrey; N. Kistnasamy","Journal Article","","39","1975","1–100","S. Afr. Ass. Mar. Biol. Res., Oceanogr. Res. Inst., Invest. Rep","1317"
"Sharks caught in the protective nets off Natal, South Africa.4.The bull shark Carcharhinus leucas Valenciennes","","C. G; D. SFJ","","","","","C. G; D. SFJ","C. G; D. SFJ","C. G; D. SFJ","Journal Article","","4","1991","253-270","South African Journal of Marine Science ","1316"
"A guide to the common sea fishes of southern Africa (3rd edition)","","vander Elst RP","","","","","vander Elst RP","vander Elst RP","vander Elst RP","Journal Article","","","1993","398p","","1315"
"Population status of 14 shark species caught in the protective gillnets off KwaZulu–Natal beaches, South Africa, 1978–2003","","S.F.J. Dudley; C.A. Simpfendorfer","","","","","S.F.J. Dudley; C.A. Simpfendorfer","S.F.J. Dudley; C.A. Simpfendorfer","S.F.J. Dudley; C.A. Simpfendorfer","Journal Article","","57","2006","225–240","Marine and Freshwater Research","1314"
"Sharks of the world, 368 pp","","L.J.V. Compagno; M. Dando; S. Fowler","","","","","L.J.V. Compagno; M. Dando; S. Fowler","L.J.V. Compagno; M. Dando; S. Fowler","L.J.V. Compagno; M. Dando; S. Fowler","Miscellaneous","","","2005","","","1313"
"Sharks caught in the protective gill nets off Natal, South Africa. 4. The bull shark Carcharhinus leucas Valenciennes","","G. Cliff; S.F.J. Dudley","","","","","G. Cliff; S.F.J. Dudley","G. Cliff; S.F.J. Dudley","G. Cliff; S.F.J. Dudley","Journal Article","","10","1991","253–270","South African Journal of Marine Science","1312"
"The allometry of feeding, energetics, and body size in three sea anemone species","","K.P. Sebens","","","","","K.P. Sebens","K.P. Sebens","K.P. Sebens","Journal Article","","161","1981","152–171","The Biological Bulletin","1308"
"Sagartia troglodytes(Anthozoa: Actiniaria) consists of two species.","","P.W. Shaw; J.A. Beardmore; J.S. Ryland","","","","","P.W. Shaw; J.A. Beardmore; J.S. Ryland","P.W. Shaw; J.A. Beardmore; J.S. Ryland","P.W. Shaw; J.A. Beardmore; J.S. Ryland","Journal Article","","41","1987","21–28","Marine ecology progress series. Oldendorf","1307"
"Distribution and status of marine invasive species in and bordering the West Coast National Park","","T.B. Robinson; C.L. Griffiths; N. Kruger","","","","","T.B. Robinson; C.L. Griffiths; N. Kruger","T.B. Robinson; C.L. Griffiths; N. Kruger","T.B. Robinson; C.L. Griffiths; N. Kruger","Journal Article","","47","2004","79–87","Koedoe","1306"
"Photographic Guide to the Sea and Shore Life of Britain and Northwest Europe","","R. Gibson; B. Hextall; A. Rogers","","","","","R. Gibson; B. Hextall; A. Rogers","R. Gibson; B. Hextall; A. Rogers","R. Gibson; B. Hextall; A. Rogers","Journal Article","","","2001","","","1305"
"Hexacorallians of the world homepage, http","","D. Fautin","","","","","D. Fautin","D. Fautin","D. Fautin","Journal Article","","","2011","","hercules. kgs. ku. edu/hexacoral/anemone2/index. cfm","1304"
"Habitat shift in invading species: zebra and quagga mussel population characteristics on shallow soft substrates","","P.Arthur Berkman; D.W. Garton; M.A. Haltuch; G.W. Kennedy; L.R. Febo","","","","","P.Arthur Berkman; D.W. Garton; M.A. Haltuch; G.W. Kennedy; L.R. Febo","P.Arthur Berkman; D.W. Garton; M.A. Haltuch; G.W. Kennedy; L.R. Febo","P.Arthur Berkman; D.W. Garton; M.A. Haltuch; G.W. Kennedy; L.R. Febo","Journal Article","","2","2000","1–6","Biological invasions","1303"
"Bloemdieren: de zeeanemonen en hun verwanten vann de Nederlandse kust","","R. Ates","","","","Zeeanjer","R. Ates","R. Ates","R. Ates","Book","","","1997","","","1302"
"First record and redescription of the introduced sea anemone Sagartia ornata (Holdsworth, 1855)(Cnidaria: Actiniaria: Sagartiidae) from South Africa","","F.H. Acuna; A.C. Excoffon; C.L. Griffiths","","","","","F.H. Acuna; A.C. Excoffon; C.L. Griffiths","F.H. Acuna; A.C. Excoffon; C.L. Griffiths","F.H. Acuna; A.C. Excoffon; C.L. Griffiths","Journal Article","","39","2004","314–318","African Zoology","1301"
"Aggressive function and induced development of catch tentacles in the sea anemone Metridium senile (Coelenterata, Actiniaria)","","J.E. Purcell","","","","","J.E. Purcell","J.E. Purcell","J.E. Purcell","Journal Article","","153","1977","355–368","The Biological Bulletin","1296"
"Marine invasive aliens on South African shores: implications for community structure and tropillc functioning","","C.L. Griffiths; P.A.R. Hockey; V.Erkom Schurink; P.J. Le Roux","","","","","C.L. Griffiths; P.A.R. Hockey; V.Erkom Schurink; P.J. Le Roux","C.L. Griffiths; P.A.R. Hockey; V.Erkom Schurink; P.J. Le Roux","C.L. Griffiths; P.A.R. Hockey; V.Erkom Schurink; P.J. Le Roux","Journal Article","","12","1992","713–722","South African Journal of Marine Science","1295"
"Alien and invasive animals: a South African perspective","","C. Griffiths; M. Picker","","","","","C. Griffiths; M. Picker","C. Griffiths; M. Picker","C. Griffiths; M. Picker","Journal Article","","","2011","","Cape Town: Struik Nature","1294"
"Systematics of sea anemones belonging to genus Metridium (Coelenterata: Actiniaria), with a description of M. giganteum new species","","D.Gail Fautin; A. Bucklin; C. Hand","","","","","D.Gail Fautin; A. Bucklin; C. Hand","D.Gail Fautin; A. Bucklin; C. Hand","D.Gail Fautin; A. Bucklin; C. Hand","Journal Article","","47","1989","77–85","Biol","1293"
"Biochemical genetic evidence for a third species of Metridium (Coelenterata: Actiniaria)","","A. Bucklin; D. Hedgecock","","","","","A. Bucklin; D. Hedgecock","A. Bucklin; D. Hedgecock","A. Bucklin; D. Hedgecock","Journal Article","","66","1982","1–7","Marine Biology","1292"
"Effects of substratum instability on locomotion and pedal laceration in Metridium senile (Anthozoa: Actiniaria)","","K.R.N. Anthony; I. Svane","","","","","K.R.N. Anthony; I. Svane","K.R.N. Anthony; I. Svane","K.R.N. Anthony; I. Svane","Journal Article","","124","1995","171–180","Marine Ecology Progress Series","1291"
"Sponges of the North East Atlantic","","R.W.M. van Soest; B.E. Picton; C. Morrow;  ","","","","","R.W.M. van Soest; B.E. Picton; C. Morrow;  ","R.W.M. van Soest; B.E. Picton; C. Morrow;  ","R.W.M. van Soest; B.E. Picton; C. Morrow;  ","Journal Article","","","2000","","","1286"
"A history of British sponges and lithophytes","","G. Johnston","","","","WH Lizars","G. Johnston","G. Johnston","G. Johnston","Book","","","1842","","","1285"
"The marine fauna of Lundy","","K. Hiscock; S. Stone; J.D. George","","","","","K. Hiscock; S. Stone; J.D. George","K. Hiscock; S. Stone; J.D. George","K. Hiscock; S. Stone; J.D. George","Journal Article","","34","1983","16–35","Porifera (sponges): a preliminary study. Report of the Lundy Field Society","1284"
"The distribution and prevalence of sponge species in a semi-submerged temperate sea cave","","J.J. Bell","","","","","J.J. Bell","J.J. Bell","J.J. Bell","Journal Article","","","2003","249–265","The Irish Naturalists' Journal","1283"
"Aquaculture of sponges on scallops for natural products research and antifouling","","E. Armstrong; D. McKenzie; G.T. Goldsworthy","","","","","E. Armstrong; D. McKenzie; G.T. Goldsworthy","E. Armstrong; D. McKenzie; G.T. Goldsworthy","E. Armstrong; D. McKenzie; G.T. Goldsworthy","Journal Article","","70","1999","163–174","Journal of Biotechnology","1282"
"Effect of temperature, salinity and delayed attachment on development of the solitary ascidian Styela plicata (Lesueur)","","V. Thiyagarajan; P.Y. Qian","","","","","V. Thiyagarajan; P.Y. Qian","V. Thiyagarajan; P.Y. Qian","V. Thiyagarajan; P.Y. Qian","Journal Article","","290","2003","133–146","Journal of Experimental Marine Biology and Ecology","1276"
"Introduced ascidians in Paranaguá Bay, Paraná, southern Brazil","","R.M. da Rocha; L.P. Kremer","","","","","R.M. da Rocha; L.P. Kremer","R.M. da Rocha; L.P. Kremer","R.M. da Rocha; L.P. Kremer","Journal Article","","22","2005","1170–1184","Revista Brasileira de Zoologia","1275"
"Anti-predatory chemical defenses of ascidians: secondary metabolites or inorganic acids?","","D.P. Pisut; J.R. Pawlik","","","","","D.P. Pisut; J.R. Pawlik","D.P. Pisut; J.R. Pawlik","D.P. Pisut; J.R. Pawlik","Journal Article","","270","2002","203–214","Journal of Experimental Marine Biology and Ecology","1274"
"Styela plicata species summary","","C.L. Hewitt; R.B. Martin; C. Sliwa; F.R. McEnnulty; N.E. Murphy; T. Jones; S. Cooper","","","","NIMPIS","C.L. Hewitt; R.B. Martin; C. Sliwa; F.R. McEnnulty; N.E. Murphy; T. Jones; S. Cooper","C.L. Hewitt; R.B. Martin; C. Sliwa; F.R. McEnnulty; N.E. Murphy; T. Jones; S. Cooper","C.L. Hewitt; R.B. Martin; C. Sliwa; F.R. McEnnulty; N.E. Murphy; T. Jones; S. Cooper","Report","","","2002","","CSIRO National Introduced Marine Pest Information System ","1273"
"The ascidian Styela plicata as a potential bioremediator of bacterial and algal contamination of marine estuarine waters","","L.D. Draughon","","","FLORIDA","FLORIDA ATLANTIC UNIVERSITY","L.D. Draughon","L.D. Draughon","L.D. Draughon","Thesis","","","2010","","","1272"
"Human-mediated global dispersion of Styela plicata (Tunicata, Ascidiacea)","","R.C. de Barros; R.M. da Rocha; M.R. Pie","","","","","R.C. de Barros; R.M. da Rocha; M.R. Pie","R.C. de Barros; R.M. da Rocha; M.R. Pie","R.C. de Barros; R.M. da Rocha; M.R. Pie","Journal Article","","4","2009","45–57","Aquatic Invasions","1271"
"The estuarine fishes of the East Coast of South Africa. I Species composition and length distribution in the estuarine and marine environments. II Reproduction. III Occurrence of juveniles in estuaries.","","J.H. Wallace; R.P. Van der Elst;  ","","","","","J.H. Wallace; R.P. Van der Elst;  ","J.H. Wallace; R.P. Van der Elst;  ","J.H. Wallace; R.P. Van der Elst;  ","Journal Article","","","1975","","","1270"
"Morphological variability of the potentially toxic dinoflagellate Dinophysis sacculus (Dinophyceae) and its taxonomic relationships with D. pavillardii and D. acuminata","","A. Zingone; M. Montresor; D. Marino","","","","","A. Zingone; M. Montresor; D. Marino","A. Zingone; M. Montresor; D. Marino","A. Zingone; M. Montresor; D. Marino","Journal Article","","33","1998","259–273","European Journal of Phycology","1269"
"Dinoflagellates","","K.A. Steidinger","","","","","K.A. Steidinger","K.A. Steidinger","K.A. Steidinger","Journal Article","","","1996","387–584","Identifying marine diatoms and dinoflagellates","1268"
"DOES DINOPHYSIS (DINOPHYCEAE) HAVE A SEXUAL LIFE CYCLE? 1","","L. MacKenzie","","","","","L. MacKenzie","L. MacKenzie","L. MacKenzie","Journal Article","","28","1992","399–406","Journal of phycology","1267"
"Potentially toxic phytoplankton. 2. Genus Dinophysis (Dinophyceae)","","J. Larsen; Ø. Moestrup","","","","Plymouth Marine Lab/Plymouth, England","J. Larsen; Ø. Moestrup","J. Larsen; Ø. Moestrup","J. Larsen; Ø. Moestrup","Book Chapter","","","1992","","Ices Identification Leaflets for Plankton 180","1266"
"THECATE HETEROPHIC DINOFLAGELLATES: FEEDING BEHAVIOR AND MECHANISMS1","","D.M. Jacobson; D.M. Anderson","","","","","D.M. Jacobson; D.M. Anderson","D.M. Jacobson; D.M. Anderson","D.M. Jacobson; D.M. Anderson","Journal Article","","22","1986","249–258","Journal of Phycology","1265"
"The marine dinoflagellate genus Dinophysis (Dinophyceae): photosynthetic, neritic and non-photosynthetic, oceanic species","","G.M. Hallegraeff; I.A.N. Lucas","","","","","G.M. Hallegraeff; I.A.N. Lucas","G.M. Hallegraeff; I.A.N. Lucas","G.M. Hallegraeff; I.A.N. Lucas","Journal Article","","27","1988","25–42","Phycologia","1264"
"Some Norwegian Dinophysis species (Dinoflagellata)","","E. Balech","","","","","E. Balech","E. Balech","E. Balech","Journal Article","","61","1976","75–94","Sarsia","1263"
"The armoured Dinoflagellata: II. Prorocentridae and Dinophysidae (c)-Ornithocercus, Histioneis, Amphisolenia and others","","T.H. Abe","","","","","T.H. Abe","T.H. Abe","T.H. Abe","Journal Article","","","1967","","","1262"
"CIESM Atlas of Exotic Species in the Mediterranean: Macrophytes","","M. Verlaque; S. Ruitton; F. Mineur; C.F. Boudouresque","","","","CIESM","M. Verlaque; S. Ruitton; F. Mineur; C.F. Boudouresque","M. Verlaque; S. Ruitton; F. Mineur; C.F. Boudouresque","M. Verlaque; S. Ruitton; F. Mineur; C.F. Boudouresque","Report","","","2015","","","1260"
"Life history changes of two reef fish species in exploited and unexploited marine environments in South Africa","","C.D. Buxton","","","Grahamstown","Rhodes University","C.D. Buxton","C.D. Buxton","C.D. Buxton","Thesis","PhD","Marine Biology","1987","","","1259"
"Smith's Sea Fishes","","M.M. Smith; P.C. Heemstra","","","Johannesburg","Macmillan","M.M. Smith; P.C. Heemstra","M.M. Smith; P.C. Heemstra","M.M. Smith; P.C. Heemstra","Book","","","1986","1047","","1258"
"Smith's Sea Fishes ","","M.M. Smith; P.C. Heemstra","","","Johannesburg","Southern Book Publishers","M.M. Smith; P.C. Heemstra","M.M. Smith; P.C. Heemstra","M.M. Smith; P.C. Heemstra","Book","","","1991","1047","","1257"
"World record of  game fishes","","","","","","International Game Fish Association","","","","Government Report","","","2012","","","1256"
"World Record Game Fishes",""," ","","","Florida, USA ","International Game Fish Association"," "," "," ","Report","","","2012","","World Record Game Fishes","1255"
