Redlist_id,TaxonomicNotes.value,classname,family,genus,infraType,infra_authority,infra_name,internal_taxon_id,kingdom,ordername,phylum,species,taxonomicAuthority
60073,"The subspecies <em>Urothemis edwardsii</em>&#160;<em>hulae</em>&#160;Dumont, 1975, described from the upper Jordan Valley,<em>&#160;</em>falls within the variation range of the African and Arabian subpopulations (Samraoui <em>et al.</em> 1993) and is no longer recognized as valid.",INSECTA,LIBELLULIDAE,Urothemis,,,,60073,ANIMALIA,ODONATA,ARTHROPODA,edwardsii,"(Selys, 1849)"
60076,<em>Zygonyx ikomae</em> is a synonym (Dijkstra unpubl.).,INSECTA,LIBELLULIDAE,Zygonyx,,,,60076,ANIMALIA,ODONATA,ARTHROPODA,natalensis,"(Martin, 1900)"
60078,"It is still often misspelt as <em>Zygonyx torrida</em>, from its&#160;former&#160;name, <em>Pseudomacromia torrida</em>.<br/><br/>Specimens from Mauritius have been described as a distinct subspecies<em>, Zygonyx torridus insulanus</em> (sub&#160;<em>Z. torrida insulana</em>) by Pinhey (1981), based on their smaller size and the occurrence of a yellow tinge on all wings in three males only. However, Jacquemin and Boudot (1999) specified that two&#160;males&#160;from Mauritius and a third from La&#160;Réunion&#160;islands agree perfectly in size and wing colour (fully hyaline) with the nominotypical subspecies. Similarly, specimens from India, which have been doubtfully ascribed to a distinct subspecies, <em>Zygonyx torridus isis</em> (sub<em> Zygonyx&#160;isis</em>, then <em>Z. torrida isis</em>) by Fraser (1924, 1926) on the basis of their faint yellow suffused wings in six males and without any comparison with the African subpopulations. This poorly defined taxon is in need of re-evaluation. Here<em> Z. t. isis</em> is tentatively treated as a synonym of <em>Z. t. torridus</em>.",INSECTA,LIBELLULIDAE,Zygonyx,,,,60078,ANIMALIA,ODONATA,ARTHROPODA,torridus,"(Kirby, 1889)"
60079,,INSECTA,LIBELLULIDAE,Zyxomma,,,,60079,ANIMALIA,ODONATA,ARTHROPODA,atlanticum,"Selys, 1889"
63171,,INSECTA,SYNLESTIDAE,Chlorolestes,,,,63171,ANIMALIA,ODONATA,ARTHROPODA,fasciatus,"(Burmeister, 1839)"
63175,"<em>Pseudagrion</em> is likely to be split into two genera at some point. Until this taxonomic split occurs, the candidates for these two groups are highlighted by ""group A"" and ""group B"". <em>P. inopinatum </em>is an A-group species.",INSECTA,COENAGRIONIDAE,Pseudagrion,,,,63175,ANIMALIA,ODONATA,ARTHROPODA,inopinatum,"Balinsky, 1971"
63176,"<span style=""font-weight: bold;"">B-group</span>.  <em>Pseudagrion</em> is likely to be split into two genera at some point. Until this taxonomic split occurs, the candidates for these two groups are highlighted by ""group A"" and ""group B"".",INSECTA,COENAGRIONIDAE,Pseudagrion,,,,63176,ANIMALIA,ODONATA,ARTHROPODA,vaalense,"Chutter, 1962"
63178,"Two subspecies: <em>ruberrima</em> Balinsky, 1961 and <em>albifrons</em> Balinsky, 1961. Further taxonomic work is required as <em>A. ruberrima</em> may be split into two separate species.",INSECTA,COENAGRIONIDAE,Agriocnemis,,,,63178,ANIMALIA,ODONATA,ARTHROPODA,ruberrima,"Balinsky, 1961"
63179,,INSECTA,SYNLESTIDAE,Chlorolestes,,,,63179,ANIMALIA,ODONATA,ARTHROPODA,tessellatus,"(Burmeister, 1839)"
63180,"A-group.  <em>Pseudagrion</em> is likely to be split into two genera at some point. Until this taxonomic split occurs, the candidates for these two groups are highlighted by ""group A"" and ""group B"".",INSECTA,COENAGRIONIDAE,Pseudagrion,,,,63180,ANIMALIA,ODONATA,ARTHROPODA,citricola,"Barnard, 1937"
63182,,INSECTA,COENAGRIONIDAE,Agriocnemis,,,,63182,ANIMALIA,ODONATA,ARTHROPODA,falcifera,"Pinhey, 1959"
63183,,INSECTA,GOMPHIDAE,Ceratogomphus,,,,63183,ANIMALIA,ODONATA,ARTHROPODA,pictus,"Hagen in Selys, 1854"
